,Rank,Name,MC_USD_Billion,MC_CAN_Billion,MC_MXN_Billion
0,1,JPMorgan Chase,432.92,658.04,7879.14
1,2,Bank of America,231.52,351.91,4213.66
2,3,Industrial and Commercial Bank of China,194.56,295.73,3540.99
3,4,Agricultural Bank of China,160.68,244.23,2924.38
4,5,HDFC Bank,157.91,240.02,2873.96
5,6,Wells Fargo,155.87,236.92,2836.83
6,7,HSBC Holdings PLC,148.9,226.33,2709.98
7,8,Morgan Stanley,140.83,214.06,2563.11
8,9,China Construction Bank,139.82,212.53,2544.72
9,10,Bank of China,136.81,207.95,2489.94
